logged_at_utc,event,symbol,expiry,window_from,window_to,option_type,strike,instrument_symbol,instrument_token,candles_count,min_required_candles,avg_volume,min_avg_volume,previous_candle_time,candle_time,candle_open,candle_high,candle_low,candle_close,previous_close,current_close,price_multiplier,threshold_upper,change_percent,comparison,signal_detected,skip_reason,note
2026-02-25T16:53:26.489553Z,backtest_start,,,2026-01-05 00:00:00,2026-01-29 23:59:00,,,,,,5,,1,,,,,,,,,1.7,,,,,,"workers=4, frequency=daily, strict_first_candle=True, liquidity_filter=True"
2026-02-25T16:53:26.555008Z,scan_expiry_segment,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-29T23:59:00,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-02-25T16:53:26.616561Z,scan_expiry_segment,ABB,2026-01-29,2026-01-05T00:00:00,2026-01-29T23:59:00,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-02-25T16:53:26.726513Z,scan_expiry_segment,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-29T23:59:00,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-02-25T16:53:26.816761Z,scan_expiry_segment,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-29T23:59:00,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-02-25T16:53:26.999784Z,rebalance_cmp_selected,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=365.7500;source=historical_underlying
2026-02-25T16:53:27.098053Z,rebalance_cmp_selected,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=1200.1000;source=historical_underlying
2026-02-25T16:53:27.151873Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:27.152874Z,rebalance_cmp_selected,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=1045.1000;source=historical_underlying
2026-02-25T16:53:27.375125Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1050.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:27.398618Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1250.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:27.498534Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,450.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:27.613624Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1100.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:27.657830Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1300.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:27.742918Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,500.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:27.860612Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1150.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:27.918047Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1350.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.002379Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,550.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.094244Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1200.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.178381Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.342758Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.346293Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1250.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.444135Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1450.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.543085Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,650.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.596650Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1300.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.680915Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1500.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.797681Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,700.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.848834Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1350.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:28.931083Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1550.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:29.016237Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,750.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:29.103639Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:29.187221Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:29.337284Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,800.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:29.359783Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1450.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:29.446480Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1650.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:29.529574Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,850.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:29.578300Z,rebalance_cmp_selected,ABB,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=5216.0000;source=historical_underlying
2026-02-25T16:53:29.724109Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1500.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:29.920354Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1700.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:29.993808Z,skip_strike,ABB,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,5250.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:30.061601Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,900.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:30.196511Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1750.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:30.282021Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1550.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:30.357387Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,950.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:30.457418Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1800.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:30.532979Z,skip_strike,ABB,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,5300.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:30.650742Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1000.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:30.719607Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1850.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:30.847532Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:30.917556Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1900.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.004236Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1050.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.079513Z,skip_strike,ABB,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,5350.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.179577Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1950.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.309205Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1100.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.390602Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,2000.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.441722Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1650.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.552028Z,skip_strike,ABB,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,5400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.648773Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1150.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.720099Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,2050.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.856739Z,skip_strike,360ONE,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,2100.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:31.929533Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1200.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:32.013963Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1700.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:53:32.088922Z,skip_strike,ABB,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,5450.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
